trial_id	session_id	mode_id	participant_id	word	status	start_tstamp	end_tstamp	backspace_time	cancel_time	candidates
19	4	eyeswipe1	A08	shivering	COMPLETED	17741.0	21180.0	0.0	0.0	shivering;suffering;studying;suggesting;selecting;sleeping;something;surrounding;surfing;spring
19	4	eyeswipe1	A08	is	COMPLETED	24005.0	28459.0	0.0	0.0	ides;ideas;irs;its;is;ids;indexes;ins;interfaces;interests
19	4	eyeswipe1	A08	one	COMPLETED	35882.0	38054.0	0.0	0.0	one;online;once;olive;observe;operate;optimize;office;offense;occurrence
19	4	eyeswipe1	A08	way	COMPLETED	48960.0	50534.0	0.0	0.0	way;why;wendy;warranty;windy;wednesday;worthy;worry;wesley;widely
19	4	eyeswipe1	A08	to	COMPLETED	53579.0	54286.0	0.0	0.0	to;too;trio;tokyo;treo;turbo;techno;toronto;two;tobago
19	4	eyeswipe1	A08	keep	COMPLETED	57416.0	58954.0	0.0	0.0	keep
19	4	eyeswipe1	A08	warm	COMPLETED	64141.0	67929.0	0.0	0.0	warm;whom;webcam;wisdom;worm;william
20	4	eyeswipe1	A08	vote	COMPLETED	78571.0	80882.0	0.0	0.0	vote;volume;virtue;vice;voice;vintage;voltage;village;violence;venue
20	4	eyeswipe1	A08	-	CANCELED	85374.0	95442.0	0.0	1813.0	-
20	4	eyeswipe1	A08	-	CANCELED	104471.0	108328.0	0.0	1801.0	-
20	4	eyeswipe1	A08	according	COMPLETED	112875.0	117254.0	0.0	0.0	avoiding;according;achieving;accounting;allowing;accompanying;appearing;armstrong;amazing;arising
20	4	eyeswipe1	A08	to	COMPLETED	123100.0	123837.0	0.0	0.0	to;too;trio;tokyo;treo;techno;turbo;toronto;two;tomato
20	4	eyeswipe1	A08	your	COMPLETED	127225.0	130797.0	0.0	0.0	your;younger;year
20	4	eyeswipe1	A08	conscience	COMPLETED	135984.0	142825.0	0.0	0.0	convenience;conscience;consequence;consecutive;constitute;competitive;correspondence;compromise;cuisine;christine
21	4	eyeswipe1	A08	give	COMPLETED	153897.0	180630.0	0.0	0.0	gnome;give;gone;globe;guide;grove;groove;google;gore;genuine
21	4	eyeswipe1	A08	me	COMPLETED	187375.0	197637.0	0.0	0.0	merge;mere;me;mike;mime;mine;minute;mice;mile;maybe
21	4	eyeswipe1	A08	one	COMPLETED	204654.0	212005.0	0.0	0.0	one;olive;once;online;observe;office;optimize;outline;offline;operate
21	4	eyeswipe1	A08	spoonful	COMPLETED	220586.0	224290.0	0.0	0.0	spoonful;spell;soul;still;steel;shell;samuel;seal;sexual;several
21	4	eyeswipe1	A08	of	COMPLETED	229764.0	231204.0	0.0	0.0	of;off
21	4	eyeswipe1	A08	cole	DELETED	234214.0	247368.0	7458.0	0.0	cole;couple;chile;college;cookie;culture;core;compute;complete;compile
21	4	eyeswipe1	A08	-	CANCELED	261633.0	353536.0	0.0	75267.0	-
21	4	eyeswipe1	A08	coffee	COMPLETED	355850.0	358769.0	0.0	0.0	code;choice;coffee;chose;choose;cove;core;cope;cite;course
22	4	eyeswipe1	A08	parking	COMPLETED	384959.0	388039.0	0.0	0.0	parking;paying;passing;playing;pushing;posing;posting;pressing;pissing;prevailing
22	4	eyeswipe1	A08	lot	COMPLETED	396364.0	398210.0	0.0	0.0	lot;light;lift;lit;limit;let;left;longest;list;lost
22	4	eyeswipe1	A08	is	COMPLETED	400786.0	403070.0	0.0	0.0	ides;ideas;irs;is;its;ids;itunes;insects;ins;indexes
22	4	eyeswipe1	A08	full	COMPLETED	408257.0	409606.0	0.0	0.0	fill;fool;full;foul;feel;fell;fuel;fatal;funeral;federal
22	4	eyeswipe1	A08	of	COMPLETED	414605.0	415623.0	0.0	0.0	of;off
22	4	eyeswipe1	A08	trucks	COMPLETED	418953.0	423833.0	0.0	0.0	trucks;tricks;thickness;tickets;themes;thesis;themselves;throws;tremendous;terms
43	9	eyeswipe1	A08	a	COMPLETED	22396.0	22470.0	0.0	0.0	a;ada;area;ata;aqua;aruba;ana;andrea;arena;agenda
43	9	eyeswipe1	A08	good	COMPLETED	26482.0	28427.0	0.0	0.0	gold;god;guild;good;guided;grid;ground;glad;guard;girlfriend
43	9	eyeswipe1	A08	response	COMPLETED	33902.0	35511.0	0.0	0.0	resolve;response;refine;rice;rhode;ride;ridge;rife;rise;rule
43	9	eyeswipe1	A08	to	COMPLETED	40400.0	41049.0	0.0	0.0	to;too;trio;treo;tokyo;turbo;techno;toronto;two;tattoo
43	9	eyeswipe1	A08	theft	DELETED	44555.0	44663.0	1989.0	0.0	theft;tent;tit;tight;trust;test;text;twist;ticket;thought
43	9	eyeswipe1	A08	the	COMPLETED	50814.0	51798.0	0.0	0.0	tribune;triple;tribute;they're;the;twelve;trouble;turtle;tue;temple
43	9	eyeswipe1	A08	question	COMPLETED	61474.0	63693.0	0.0	0.0	question;queen;qualification
44	9	eyeswipe1	A08	webster	DELETED	70744.0	73554.0	1582.0	0.0	webster;warner;weather;wagner;washer;wherever;wider;winter;westminster;writer
44	9	eyeswipe1	A08	winter	DELETED	79562.0	83062.0	23188.0	0.0	winter;wider;writer;weather;winner;westminster;warner;washer;wagner;waiver
44	9	eyeswipe1	A08	warner	DELETED	111603.0	112705.0	2021.0	0.0	warner;weather;washer;wagner;wider;winter;writer;waiver;winner;webster
44	9	eyeswipe1	A08	weather	DELETED	119496.0	120575.0	15793.0	0.0	weather;warner;washer;wagner;webster;wherever;winter;waiver;writer;westminster
44	9	eyeswipe1	A08	warner	DELETED	141273.0	143159.0	70823.0	0.0	warner;weather;washer;wagner;webster;winter;writer;wider;waiver;winner
44	9	eyeswipe1	A08	where	COMPLETED	220702.0	226756.0	0.0	0.0	where;wake;write;white;wire;wayne;wine;wage;wife;wide
44	9	eyeswipe1	A08	did	COMPLETED	233865.0	235045.0	0.0	0.0	did;dod;derived;dried;died;decided;delivered;described;desired;destroyed
44	9	eyeswipe1	A08	i	COMPLETED	238974.0	239005.0	0.0	0.0	i;israeli;iraqi
44	9	eyeswipe1	A08	leave	COMPLETED	241898.0	254049.0	0.0	0.0	leave;lance;lane;lawrence;levee;large;luggage;lodge;license;licence
44	9	eyeswipe1	A08	my	COMPLETED	257323.0	258851.0	0.0	0.0	my;mighty;minority;mobility;monthly;modify;monkey;mercy;merely;montgomery
44	9	eyeswipe1	A08	good	DELETED	261911.0	264129.0	38600.0	0.0	good;guided;glad;god;guild;gold;grid;ground;guard;girlfriend
44	9	eyeswipe1	A08	glasses	COMPLETED	307390.0	311660.0	0.0	0.0	glasses;gloves;goes;gods;gps;golfers;glass;goods;guitars;guides
45	9	eyeswipe1	A08	every	COMPLETED	321187.0	323264.0	0.0	0.0	every;energy;entry;easy;entity;essay;equity;everyday;ebay;enquiry
45	9	eyeswipe1	A08	apple	COMPLETED	330588.0	332411.0	0.0	0.0	apple;alike;awesome;alone;alpine;adobe;able;anyone;alive;above
45	9	eyeswipe1	A08	from	COMPLETED	335223.0	336353.0	0.0	0.0	from;film;freedom;fm;firm;form;forum;farm;foam
45	9	eyeswipe1	A08	every	COMPLETED	341407.0	344045.0	0.0	0.0	enjoy;every;entity;ebony;economy;easy;entry;essay;ecology;easily
45	9	eyeswipe1	A08	tree	COMPLETED	349231.0	350153.0	0.0	0.0	tree;tee;the;these;there;three;thee;true;tue;trustee
46	9	eyeswipe1	A08	soon	COMPLETED	358292.0	359522.0	0.0	0.0	son;soon;session;skin;sin;spin;simon;solomon;satin;salon
46	9	eyeswipe1	A08	we	COMPLETED	365555.0	368772.0	0.0	0.0	were;we;ware;waste;wage;wave;where;wayne;wise;wire
46	9	eyeswipe1	A08	will	COMPLETED	374347.0	383043.0	0.0	0.0	wool;will;well;wal;wall;wheel;wishful;wonderful;withdrawal
46	9	eyeswipe1	A08	return	COMPLETED	388413.0	390347.0	0.0	0.0	return;risen;ran;ryan;run;rain;retain;robin;roman;remain
46	9	eyeswipe1	A08	from	COMPLETED	393017.0	394898.0	0.0	0.0	from;film;freedom;fm;firm;form;forum;farm;foam
46	9	eyeswipe1	A08	-	CANCELED	397970.0	401151.0	0.0	1832.0	-
46	9	eyeswipe1	A08	the	COMPLETED	403417.0	407062.0	0.0	0.0	there;the;three;thee;these;tube;tune;tue;true;trustee
46	9	eyeswipe1	A08	city	COMPLETED	415778.0	417517.0	0.0	0.0	city;chubby;county;country;comply;copy;community;commonly;colony;continuity
47	10	eyeswipe1	A08	our	COMPLETED	20712.0	21959.0	0.0	0.0	our;or;order;outer;older;other;offer;over;oliver;observer
47	10	eyeswipe1	A08	life	COMPLETED	24617.0	27440.0	0.0	0.0	lodge;lie;life;like;lite;lose;louise;loose;luke;live
47	10	eyeswipe1	A08	expectancy	COMPLETED	31992.0	37339.0	0.0	0.0	expectancy;electricity;efficiency;elderly;entirely;effectively;efficiently;explicitly;essentially;everybody
47	10	eyeswipe1	A08	has	COMPLETED	40309.0	41076.0	0.0	0.0	has;hughes;hundreds;heads;his;hits;hints;highs;hazards;headers
47	10	eyeswipe1	A08	increased	COMPLETED	46454.0	49687.0	0.0	0.0	increased;indeed;infrared;indexed;ind;infected;inserted;instead;interested;integrated
48	10	eyeswipe1	A08	recover	DELETED	59161.0	67145.0	54882.0	0.0	recover;recorder;retailer;reminder;reviewer;register;receiver;reseller;reservoir;reporter
48	10	eyeswipe1	A08	-	CANCELED	128490.0	137370.0	0.0	1327.0	-
48	10	eyeswipe1	A08	-	CANCELED	139897.0	142896.0	0.0	2267.0	-
48	10	eyeswipe1	A08	rectangular	COMPLETED	145689.0	150010.0	0.0	0.0	rectangular;recover;recorder;retailer;reviewer;regular;reminder;registrar;register;reseller
48	10	eyeswipe1	A08	objects	COMPLETED	153010.0	155643.0	0.0	0.0	obvious;orleans;options;origins;objects;operators;ourselves;outputs;olympus;outlets
