trial_id	session_id	mode_id	participant_id	expected_sentence	typed_sentence	msd	wpm	start_tstamp	end_tstamp	duration
18	3	eyeswipe2	E02	Historic meeting without a result.	Historic meeting without a result.	0.0	18.23624222887405	20760.0	46836.0	21715.0
19	3	eyeswipe2	E02	Arguing with the boss is futile.	Arguing with the boss is futile.	0.0	9.014466765211914	49143.0	95395.0	41267.0
20	3	eyeswipe2	E02	Not quite so smart as you think.	Not quite so smart as you think.	0.0	13.397198112867793	98079.0	130063.0	27767.0
21	3	eyeswipe2	E02	We are having spaghetti.	We are having spaghetti.	0.0	14.153846153846152	132914.0	156499.0	19500.0
22	3	eyeswipe2	E02	That referendum asked a silly question.	That referendum asked a silly.	9.0	9.465781743009465	159189.0	205428.0	36764.0
23	3	eyeswipe2	E02	All together in one big pile.	All together in one big pile.	0.0	11.045727998948024	208849.0	247550.0	30419.0
24	3	eyeswipe2	E02	Get aboard the ship is leaving.	Get aboard the ship is leaving.	0.0	7.173315267205994	250072.0	304977.0	50186.0
25	3	eyeswipe2	E02	No kissing in the library.	No kissing in the library.	0.0	11.025358324145534	308356.0	339953.0	27210.0
7	2	eyeswipe2	E02	Universally understood to be wrong.	Universally understood to be wrong.	0.0	15.419501133786847	22404.0	54913.0	26460.0
8	2	eyeswipe2	E02	Can we play cards tonight.	Can we play cards tonight.	0.0	11.093033574914953	58037.0	89841.0	27044.0
9	2	eyeswipe2	E02	A quarter of a century.	A quarter of a century.	0.0	16.357890823471095	92251.0	112838.0	16139.0
10	2	eyeswipe2	E02	Double double toil and trouble.	Double double toil and trouble.	0.0	16.879219804951237	114738.0	145989.0	21328.0
11	2	eyeswipe2	E02	The food at this restaurant.	The food at this restaurant.	0.0	17.26894787336105	147913.0	172183.0	18762.0
12	2	eyeswipe2	E02	Irregular verbs are the hardest to learn.	Irregular verbs are the hardest to learn.	0.0	17.402022985172028	174012.0	207782.0	27583.0
13	2	eyeswipe2	E02	Always cover all the bases.	Always cover all the best.	3.0	17.01066001360853	209394.0	231517.0	17636.0
14	2	eyeswipe2	E02	All work and no play.	All work and no play.	0.0	12.66825019794141	233925.0	257453.0	18945.0
15	2	eyeswipe2	E02	You want to eat your cake.	You want to eat your cake.	0.0	13.238603768589206	260544.0	288612.0	22661.0
16	2	eyeswipe2	E02	I will put on my glasses.	I will put on my glasses.	0.0	9.289123984002064	291815.0	328390.0	31004.0
17	2	eyeswipe2	E02	Breathing is difficult.	Breathing is difficult.	0.0	18.865227954837792	330121.0	365681.0	13994.0
26	4	eyeswipe2	E02	Just what the doctor ordered.	Just what the doctor ordered.	0.0	12.04344241729094	92378.0	128462.0	27899.0
27	4	eyeswipe2	E02	This camera takes nice photographs.	This camera takes nice photographs.	0.0	7.547449036220356	130654.0	195532.0	54058.0
28	4	eyeswipe2	E02	I do not care if you do that.	I do not care if you do that.	0.0	10.707456978967494	197760.0	235192.0	31380.0
29	4	eyeswipe2	E02	Presidents drive expensive cars.	Presidents drive expensive cars.	0.0	15.453639082751746	239680.0	270435.0	24072.0
30	4	eyeswipe2	E02	Our fax number has changed.	Our fax number has changed.	0.0	10.971235670581617	276623.0	310879.0	28438.0
31	4	eyeswipe2	E02	Interactions between men and women.	Interactions between men and woman.	1.0	10.539095394311987	314610.0	358043.0	38713.0
32	4	eyeswipe2	E02	He underwent triple bypass surgery.	He underwent triple bypass surgery.	0.0	16.988674217188542	361774.0	390957.0	24016.0
33	4	eyeswipe2	E02	Protect your environment.	Protect your environment.	0.0	15.249391083342159	393009.0	417178.0	18886.0
0	1	eyeswipe2	E02	Stiff penalty for staying out late.	Stiff penalty for staying out late.	0.0	7.916642412247511	49684.0	124347.0	51537.0
1	1	eyeswipe2	E02	The living is easy.	The living is easy.	0.0	6.492335437330929	126327.0	165105.0	33270.0
2	1	eyeswipe2	E02	The dreamers of dreams.	The dreamers of dreams.	0.0	8.092450111884254	169298.0	214047.0	32623.0
3	1	eyeswipe2	E02	The assault took six months.	The assault took six months.	0.0	10.459710743801654	217570.0	253374.0	30976.0
4	1	eyeswipe2	E02	A security force of eight thousand.	A security force of eight thousand.	0.0	13.230000972794189	255918.0	295489.0	30839.0
5	1	eyeswipe2	E02	Neither a borrower nor a lender be.	Neither a borrower nor a lender be.	0.0	10.7095046854083	297511.0	339656.0	38097.0
6	1	eyeswipe2	E02	Dinosaurs have been extinct for ages.	Dinosaurs have been extinct for ages.	0.0	5.580602239991733	342900.0	439362.0	77411.0
